time(h:m:s),Satellites,Latitude,Longitude,Altitude,Time,Course,Speed,azimuth(calib&flt)
23:58:27,15,35.64339,139.523595,33.7,1605679920,201.4,0.298,112.243
23:58:27,15,35.64339,139.523595,33.7,1605679920,201.4,0.298,112.451
23:58:27,15,35.64339,139.523595,33.7,1605679920,201.4,0.298,112.658
23:58:28,15,35.64339,139.523595,33.7,1605679920,201.4,0.298,112.658
23:58:28,15,35.64339,139.523595,33.7,1605679920,201.4,0.298,112.658
23:58:28,15,35.64339,139.523595,33.7,1605679920,201.4,0.298,112.451
23:58:28,15,35.64339,139.523595,33.7,1605679920,201.4,0.298,112.451
23:58:28,15,35.64339,139.523595,33.7,1605679920,201.4,0.298,112.451
23:58:28,15,35.64339,139.523595,33.7,1605679920,201.4,0.298,112.658
23:58:28,15,35.64339,139.523595,33.7,1605679920,201.4,0.298,112.658
23:58:28,15,35.64339,139.523595,33.7,1605679920,201.4,0.298,112.658
23:58:28,15,35.64339,139.523595,33.7,1605679920,201.4,0.298,112.743
23:58:28,15,35.64339,139.523595,33.7,1605679920,201.4,0.298,112.743
23:58:28,15,35.64339,139.523595,33.7,1605679920,201.4,0.298,112.829
23:58:28,15,35.64339,139.523595,33.7,1605679920,201.4,0.298,112.621
23:58:28,15,35.64339,139.523595,33.7,1605679920,201.4,0.298,112.706
23:58:28,15,35.64339,139.523595,33.7,1605679920,201.4,0.298,112.706
23:58:28,15,35.64339,139.523595,33.7,1605679920,201.4,0.298,112.879
23:58:28,15,35.64339,139.523595,33.7,1605679920,201.4,0.298,113.055
23:58:28,15,35.64339,139.523595,33.7,1605679920,201.4,0.298,113.144
23:58:28,15,35.6434,139.5235967,33.7,1605679921,201.4,0.201,112.679
23:58:28,15,35.6434,139.5235967,33.7,1605679921,201.4,0.201,112.55
23:58:28,15,35.6434,139.5235967,33.7,1605679921,201.4,0.201,112.639
23:58:28,15,35.6434,139.5235967,33.7,1605679921,201.4,0.201,112.91
23:58:28,15,35.6434,139.5235967,33.7,1605679921,201.4,0.201,112.91
23:58:28,15,35.6434,139.5235967,33.7,1605679921,201.4,0.201,112.78
23:58:28,15,35.6434,139.5235967,33.7,1605679921,201.4,0.201,112.78
23:58:28,15,35.6434,139.5235967,33.7,1605679921,201.4,0.201,112.649
23:58:28,15,35.6434,139.5235967,33.7,1605679921,201.4,0.201,112.741
23:58:28,15,35.6434,139.5235967,33.7,1605679921,201.4,0.201,112.741
23:58:28,15,35.6434,139.5235967,33.7,1605679921,201.4,0.201,112.741
23:58:28,15,35.6434,139.5235967,33.7,1605679921,201.4,0.201,112.608
23:58:28,15,35.6434,139.5235967,33.7,1605679921,201.4,0.201,112.608
23:58:28,15,35.6434,139.5235967,33.7,1605679921,201.4,0.201,112.7
23:58:28,15,35.6434,139.5235967,33.7,1605679921,201.4,0.201,112.7
23:58:29,15,35.6434,139.5235967,33.7,1605679921,201.4,0.201,112.7
23:58:29,15,35.6434,139.5235967,33.7,1605679921,201.4,0.201,112.566
23:58:29,15,35.6434,139.5235967,33.7,1605679921,201.4,0.201,112.474
23:58:29,15,35.6434,139.5235967,33.7,1605679921,201.4,0.201,112.566
23:58:29,15,35.6434,139.5235967,33.7,1605679921,201.4,0.201,112.566
23:58:29,15,35.6434,139.5235967,33.7,1605679921,201.4,0.201,112.566
23:58:29,15,35.6434,139.5235967,33.7,1605679921,201.4,0.201,112.566
23:58:29,15,35.6434,139.5235967,33.7,1605679921,201.4,0.201,112.793
23:58:29,15,35.6434,139.5235967,33.7,1605679921,201.4,0.201,112.7
23:58:29,15,35.6434,139.5235967,33.7,1605679921,201.4,0.201,112.608
